#!,Workbook:,Custom,Custom,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,
34035,12,11.5,11,56.75,31.87,20.44,19.25
34148,12,11.5,11,56.75,31.87,20.44,19.25
34259,12,11.5,11,56.75,31.87,20.44,19.31
34372,12,11.5,11,56.75,31.81,20.44,19.31
34484,12,11.5,10.75,56.75,31.81,20.25,19.31
34596,12,11.5,10.75,56.75,31.81,20.25,19.25
34709,12,11.5,10.75,56.75,31.81,20.25,19.25
34821,12.25,11.5,10.75,56.75,31.81,20.25,19.25
34933,12.25,11.75,10.75,56.75,31.81,20.25,19.06
35045,12.25,11.75,10.75,56.75,31.81,20.25,19.06
35158,12.25,11.75,10.75,56.75,31.81,20.5,19.06
35269,12,11.75,10.75,56.75,31.81,20.5,19.25
35382,12,11.75,10.75,56.75,31.81,20.5,19.25
35493,12,11.75,10.75,56.75,32.06,20.19,19.25
35606,12.25,11.5,11,56.75,32.06,20.19,19.37
35718,12.25,11.5,11,56.75,32.06,20.19,19.37
35830,12.25,11.5,11,56.75,32.06,20.5,19.37
35942,12,11.75,11,56.75,32.06,20.5,19.5
36055,12,11.75,11,56.75,32.06,20.5,19.5
36166,12,11.75,11,56.75,31.81,20.19,19.5
36279,12,11.75,11,56.75,31.81,20.19,19.5
36390,12,11.5,11,56.81,31.81,20.19,19.25
36503,12,11.5,11,56.81,31.81,20.19,19.25.75
36615,11.75,11.5,10.75,56.81,31.81,20.19,19.25
36727,11.75,11.75,10.75,56.81,31.81,20.19,19.37
36839,11.75,11.75,10.75,56.81,31.81,20.19,19.37
36952,11.75,11.75,10.75,56.81,31.81,20.19,19.37
37063,12,11.44,10.75,56.81,31.81,20.19,19.37
37176,12,11.44,10.75,56.81,32.06,20.19,19.37
37287,12,11.44,10.75,56.81,32.06,20.19,19.37
37400,12,11.75,10.75,56.81,32.06,20.19,19.19
37513,12,11.75,10.75,56.81,32.06,20.19,19.19
37624,12,11.75,11,56.81,32.06,20.25,19.19
37737,12,11.75,11,57.06,32.06,20.25,19.19
